,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,names,artists
10,0.674,0.89,1,-4.446,0,0.0459,0.203,0,0.0819,0.737,97.02,audio_features,6mghCOaaSvrke0z1EUVUIf,spotify:track:6mghCOaaSvrke0z1EUVUIf,https://api.spotify.com/v1/tracks/6mghCOaaSvrke0z1EUVUIf,https://api.spotify.com/v1/audio-analysis/6mghCOaaSvrke0z1EUVUIf,216773,4,"Hey, Soul Sister",['Train']
11,0.755,0.832,2,-2.741,0,0.116,0.0746,1.27E-06,0.291,0.735,120.032,audio_features,5OMwQFBcte0aWFJFqrr5oj,spotify:track:5OMwQFBcte0aWFJFqrr5oj,https://api.spotify.com/v1/tracks/5OMwQFBcte0aWFJFqrr5oj,https://api.spotify.com/v1/audio-analysis/5OMwQFBcte0aWFJFqrr5oj,199693,4,TiK ToK,['Kesha']
12,0.729,0.756,8,-5.119,1,0.0294,0.131,0,0.0527,0.522,104.945,audio_features,1CkvWZme3pRgbzaxZnTl5X,spotify:track:1CkvWZme3pRgbzaxZnTl5X,https://api.spotify.com/v1/tracks/1CkvWZme3pRgbzaxZnTl5X,https://api.spotify.com/v1/audio-analysis/1CkvWZme3pRgbzaxZnTl5X,228293,4,Rolling in the Deep,['Adele']
13,0.744,0.741,1,-4.981,1,0.0572,0.0271,0.00256,0.0928,0.562,128.023,audio_features,1bLG2x4ePXBr6TXFBOmXRk,spotify:track:1bLG2x4ePXBr6TXFBOmXRk,https://api.spotify.com/v1/tracks/1bLG2x4ePXBr6TXFBOmXRk,https://api.spotify.com/v1/audio-analysis/1bLG2x4ePXBr6TXFBOmXRk,215760,4,We Found Love,"['Rihanna', 'Calvin Harris']"
14,0.8,0.639,4,-7.406,0,0.0439,0.00123,0,0.0803,0.45,129.443,audio_features,4EEGHbMUyS07PNVXSGB7Qg,spotify:track:4EEGHbMUyS07PNVXSGB7Qg,https://api.spotify.com/v1/tracks/4EEGHbMUyS07PNVXSGB7Qg,https://api.spotify.com/v1/audio-analysis/4EEGHbMUyS07PNVXSGB7Qg,226027,4,Whoomp! (There It Is),['Tag Team']
15,0.566,0.705,0,-7.569,1,0.0311,0.43,0,0.109,0.781,168.152,audio_features,7xUVverKyPPPAW3sDqXhfi,spotify:track:7xUVverKyPPPAW3sDqXhfi,https://api.spotify.com/v1/tracks/7xUVverKyPPPAW3sDqXhfi,https://api.spotify.com/v1/audio-analysis/7xUVverKyPPPAW3sDqXhfi,279400,4,Truly Madly Deeply,['Savage Garden']
16,0.653,0.604,8,-6.017,1,0.0278,0.0292,0,0.097,0.101,118.016,audio_features,6ucR4KfvsBFWCMVFDvyKKl,spotify:track:6ucR4KfvsBFWCMVFDvyKKl,https://api.spotify.com/v1/tracks/6ucR4KfvsBFWCMVFDvyKKl,https://api.spotify.com/v1/audio-analysis/6ucR4KfvsBFWCMVFDvyKKl,184400,4,Apologize,"['Timbaland', 'OneRepublic']"
17,0.541,0.864,1,-4.915,1,0.0357,0.00118,0,0.0896,0.435,124.557,audio_features,0wqOReZDnrefefEsrIGeR4,spotify:track:0wqOReZDnrefefEsrIGeR4,https://api.spotify.com/v1/tracks/0wqOReZDnrefefEsrIGeR4,https://api.spotify.com/v1/audio-analysis/0wqOReZDnrefefEsrIGeR4,216067,4,Hanging By A Moment,['Lifehouse']
18,0.459,0.51,10,-9.994,1,0.078,0.785,0,0.0861,0.582,166.457,audio_features,4TioZs1Pk7z7x99QXaSZNF,spotify:track:4TioZs1Pk7z7x99QXaSZNF,https://api.spotify.com/v1/tracks/4TioZs1Pk7z7x99QXaSZNF,https://api.spotify.com/v1/audio-analysis/4TioZs1Pk7z7x99QXaSZNF,188067,4,Mack the Knife,['Bobby Darin']
19,0.85,0.398,7,-9.816,1,0.0534,0.0117,0,0.263,0.713,99.717,audio_features,2fyTojfPYs67KBWN4WYRX7,spotify:track:2fyTojfPYs67KBWN4WYRX7,https://api.spotify.com/v1/tracks/2fyTojfPYs67KBWN4WYRX7,https://api.spotify.com/v1/audio-analysis/2fyTojfPYs67KBWN4WYRX7,258113,4,Too Close,['Next']
20,0.837,0.462,0,-7.89,1,0.0601,0.0339,0,0.09,0.762,139.986,audio_features,3LmvfNUQtglbTrydsdIqFU,spotify:track:3LmvfNUQtglbTrydsdIqFU,https://api.spotify.com/v1/tracks/3LmvfNUQtglbTrydsdIqFU,https://api.spotify.com/v1/audio-analysis/3LmvfNUQtglbTrydsdIqFU,201400,4,We Belong Together,['Mariah Carey']
21,0.649,0.552,1,-5.419,0,0.0292,0.03,6.47E-06,0.111,0.158,89.969,audio_features,0JEqGkvUiMTQmFY6sgL9kg,spotify:track:0JEqGkvUiMTQmFY6sgL9kg,https://api.spotify.com/v1/tracks/0JEqGkvUiMTQmFY6sgL9kg,https://api.spotify.com/v1/audio-analysis/0JEqGkvUiMTQmFY6sgL9kg,253813,4,No One,['Alicia Keys']
22,0.446,0.764,10,-5.042,1,0.033,0.00135,0,0.099,0.543,172.094,audio_features,0gmbgwZ8iqyMPmXefof8Yf,spotify:track:0gmbgwZ8iqyMPmXefof8Yf,https://api.spotify.com/v1/tracks/0gmbgwZ8iqyMPmXefof8Yf,https://api.spotify.com/v1/audio-analysis/0gmbgwZ8iqyMPmXefof8Yf,223840,4,How You Remind Me,['Nickelback']
