,names,uri,artists
1144,U Don't Have to Call,spotify:track:5PCJldueshnwqQVjS16543,['Usher']
1145,Hot Fun in the Summertime,spotify:track:4t6NQkpUmvpvLDCkl3XuwA,['Sly & The Family Stone']
1146,Cry Like a Baby,spotify:track:6e5dOtgCiKkITJxtWSuLBE,['The Box Tops']
1147,Biggest Part of Me,spotify:track:0CWD6Vq8az9trL6L5IyrIj,['Ambrosia']
1148,November Rain,spotify:track:3YRCqOhFifThpSRFJ1VWFM,"[""Guns N' Roses""]"
1149,Money Maker,spotify:track:2JpUkUR0OsOlUUfm6iS8ic,"['Ludacris', 'Pharrell Williams']"
1150,Suspicion,spotify:track:17YtDVU9bUluyihdOKWfxu,['Terry Stafford']
1151,If You Wanna Be Happy,spotify:track:7D97JnBT73FWUh9KmRvP9M,['Jimmy Soul']
1152,Poetry In Motion,spotify:track:5zMOnpgoSb9akRw5YlYeAs,['Johnny Tillotson']
1153,Shoop,spotify:track:2c7H254xlKoGhmZT194C0T,['Salt-N-Pepa']
1154,Boogie On Reggae Woman,spotify:track:4IbO6Y9VBWvNaiRrQPHuIW,['Stevie Wonder']
1155,Truly,spotify:track:3Pf1zL2W508QqTi6RvvOA5,['Lionel Richie']
1156,(Your Love Has Lifted Me) Higher And Higher,spotify:track:5sVbjPy0XqLA4j05H3rLIJ,['Rita Coolidge']
1157,Wheels,spotify:track:789lq0oHhOa4pHh2y9rjkN,['The String-A-Longs']
1158,The Lazy Song,spotify:track:1ExfPZEiahqhLyajhybFeS,['Bruno Mars']
1159,Love Can Make You Happy,spotify:track:5RlTopKNMnGMgFrvREcKgL,['Mercy']
1160,Easy To Be Hard,spotify:track:2XZEAYYRMBvkY7c2Z8YGox,['Three Dog Night']
1161,Popsicles & Icicles,spotify:track:6eYWIWtLkKGfdQa70eu69L,['The Murmaids']
1162,(Theme From) Valley of the Dolls,spotify:track:021O8Fvrww2EJB8220tgXo,['Dionne Warwick']
1163,Uncle Albert/Admiral Halsey,spotify:track:15DHbSXRX3JyHAd1enCYpX,"['Paul McCartney', 'Linda McCartney']"
1164,The Edge Of Glory,spotify:track:0JNdS1n0ifOP25XvhwAMgM,['Lady Gaga']
1165,Under the Boardwalk,spotify:track:65jrjEhWfAvysKfnojk1i0,['The Drifters']
1166,Kiss on My List,spotify:track:7uMo3OexImQML2f1XwcypW,['Daryl Hall & John Oates']
1167,We Are The Champions - Remastered 2011,spotify:track:2U9v51tNOoLRhwrU6j83uU,['Queen']
1168,"Take a Letter, Maria",spotify:track:70V9otkdkxxiRjrdiHk6CO,['R.B. Greaves']
1169,Can't Get Used to Losing You - Single Version,spotify:track:41zpWL98BsYKP5nvtdTM5z,['Andy Williams']
1170,Jive Talkin',spotify:track:3K6OPmbTtyjLsKlImyEr7m,['Bee Gees']
1171,Never Gonna Let You Go,spotify:track:0Yyz56CeZIqLRYEuc26KGt,['Sérgio Mendes']
1172,With A Little Luck - Remastered 1993,spotify:track:73JqQIGZUZxCVfY54RSpCH,['Wings']
1173,Will It Go Round In Circles,spotify:track:5YLVhkyMsAuYKOKihHJo21,['Billy Preston']
1174,The Purple People Eater - Rerecorded,spotify:track:6I49RDTrOe54naukI7dYYF,['Sheb Wooley']
1175,Hotel California - 2013 Remaster,spotify:track:4Vn7TykT27PIygBiZjTR2s,['Eagles']
1176,Rainy Days And Mondays,spotify:track:1929eIMhIFVN00MVzejNne,['Carpenters']
1177,Dedicated To The One I Love,spotify:track:3ynGqAYRSrWURuQhFuPW7C,['The Mamas & The Papas']
1178,The Most Beautiful Girl,spotify:track:5kXmiepRVuKhhz0SxyCVeL,['Charlie Rich']
1179,Knockin' Da' Boots,spotify:track:2LP2NrdZlsabtHT0GUCwUa,['H-Town']
1180,How Low,spotify:track:1WtTLtofvcjQM3sXSMkDdX,['Ludacris']
1181,Candida,spotify:track:7JnnNHRuEzFBxDdfRN8VmJ,"['The Dawn', 'Tony Orlando & Dawn']"
1182,Crazy for You,spotify:track:6B4oVElDIKRNcNUary0WG7,['Madonna']
1183,Take A Chance On Me,spotify:track:7x93eCAiJQF7DUt979fj3p,['ABBA']
1184,Circus,spotify:track:4p3WcdhfXbDDX0fcxp0wr1,['Britney Spears']
1185,A Blossom Fell,spotify:track:35eRfaVytfTFAr8QKX5urU,['Nat King Cole']
1186,You've Made Me So Very Happy,spotify:track:1VL7DLieQaRCjAEj0Kdzju,"['Blood, Sweat & Tears']"
1187,Never Can Say Goodbye,spotify:track:6zkduXxkjIqmjusVAm0o28,['The Jackson 5']
1188,Lighters,spotify:track:5zpDHEU12zATwLGvozxPw2,"['Bad Meets Evil', 'Bruno Mars']"
1189,Misty Blue,spotify:track:2lBilUJAUX9jCNbbpPRQDD,['Dorothy Moore']
1190,Lovin' You,spotify:track:4twhYPDyCP6ICeW3TtQVxP,['Minnie Riperton']
1191,Higher,spotify:track:0J39Z0d8WCrHdFFlF9Xxbu,['Creed']
1192,Running Scared,spotify:track:5uWpaSsh1h6jFeplIbKAcd,['Roy Orbison']
1193,I Know,spotify:track:698R7h4SU5zyNil1iReHAX,['Dionne Farris']
1194,Lady Willpower,spotify:track:2v32CGfALncxmdlF4JbKZ4,['Gary Puckett & The Union Gap']
1195,Diana,spotify:track:4chlGZQX5uPYpRLp3NezmX,['Paul Anka']
1196,Stop Draggin' My Heart Around,spotify:track:1yPffh4b3JKJr9Ft8gPvt5,"['Stevie Nicks', 'Tom Petty and the Heartbreakers']"
1197,Car Wash,spotify:track:1tJtx09XQnxaynZLOaTNfZ,['Rose Royce']
1198,Wear My Ring Around Your Neck - Remastered,spotify:track:4kyJaCLg4HkG0VX6CxA4dh,"['Elvis Presley', 'The Jordanaires']"
1199,One Night,spotify:track:1W5Vp1lP4uhlxyUwgxQq4f,['Elvis Presley']
1200,Teen Beat,spotify:track:5RmYLBVjWf0MPIyL1RGKba,['Sandy Nelson']
1201,Please Please Me - Remastered 2009,spotify:track:6EHuOufBeL6vk3TvVJB5qo,['The Beatles']
1202,Don't Forbid Me,spotify:track:5XjPPdhCGeAEecJlxAJt3M,['Pat Boone']
1203,Good Life,spotify:track:6OtCIsQZ64Vs1EbzztvAv4,['OneRepublic']
1204,The Night The Lights Went Out In Georgia,spotify:track:2VRpkHq6V8aiqdPsQqWI3e,['Vicki Lawrence']
1205,Jean,spotify:track:5v4sUZA2Oyni7EtBL586V7,['Oliver']
1206,Get Up and Boogie (That's Right),spotify:track:4hBqB9ggnSW1a68UVaKqua,['Silver Convention']
1207,Washington Square,spotify:track:2v7c2fC0U8VBrBiKahq6uV,['The Village Stompers']
1208,Sometimes When We Touch,spotify:track:2hw2fDtNPkIowTNuQRmlnN,['Dan Hill']
1209,Private Eyes,spotify:track:6MT2voYmjlstKrGgE0q3Mg,['Daryl Hall & John Oates']
1210,Every Woman in the World,spotify:track:3mI9Z256VhQI6VAHRxFqUf,['Air Supply']
1211,Find Your Love,spotify:track:4BycRneKmOs6MhYG9THsuX,['Drake']
1212,Angel,spotify:track:3xZMPZQYETEn4hjor3TR1A,['Sarah McLachlan']
1213,Love Machine - Pt. 1,spotify:track:7EQGvEps8g0ozPbRPsfdXZ,['The Miracles']
1214,The Happy Organ,spotify:track:52jXpaOLXL5GSZ3pdVsEj2,"['Dave ""Baby"" Cortez']"
1215,Slow Jamz,spotify:track:32UioUCnMFsr2UN7SvDyXj,"['Twista', 'Kanye West', 'Jamie Foxx']"
1216,03' Bonnie & Clyde,spotify:track:73AElRO42LtQlBId3tA2Oh,"['JAY-Z', 'Beyoncé']"
1217,Don't Break The Heart That Loves You,spotify:track:5rBeUeRQh1Ou7m3giAX5p5,['Connie Francis']
1218,Lady Marmalade (feat. Patti LaBelle),spotify:track:20aZlN6QJxnLzhZbO7auv0,"['LaBelle', 'Patti LaBelle']"
1219,My Eyes Adored You,spotify:track:2cqVnbTiYgdun186IbDRwm,['Frankie Valli']
1220,Get It On Tonite,spotify:track:3hRwcwpkOenKHjOsyIwTxf,['Montell Jordan']
1221,Cupid / I've Loved You for a Long Time,spotify:track:6zKFVGEDGLtf63Yxpz8kzJ,['The Spinners']
1222,The Horse,spotify:track:017jXBIfvDW8YhUoJ9uSeB,"['Cliff Nobles', 'Co']"
1223,Break It To Me Gently,spotify:track:690qzM82UFSTJyYpJ7HpA6,['Brenda Lee']
1224,Can You Feel The Love Tonight,spotify:track:5G0es3LsTx5a3ZeGGVKUXY,['Elton John']
1225,Love Me Tender,spotify:track:7LSGjWtza5Y8itm6Cpbj1s,['Elvis Presley']
1226,"All For Love - From ""The Three Musketeers"" Soundtrack",spotify:track:5h92ib6UGUe0BkUvNz8AtP,"['Bryan Adams', 'Sting', 'Rod Stewart']"
1227,Can't You Hear My Heartbeat,spotify:track:2tUP1fuo8EdOVz3Bw9r7yu,"[""Herman's Hermits""]"
1228,Club Can't Handle Me (feat. David Guetta) - From the Step Up 3D Soundtrack,spotify:track:0xcl9XT60Siji6CSG4y6nb,['Flo Rida']
1229,Charlie Brown,spotify:track:4zno0yXr6X7QUdYq4uC7BB,['The Coasters']
1230,I Want To Be Wanted (Per Tutta La Vita) - Single Version,spotify:track:3J073InBcpiVVLIqmPdYXE,['Brenda Lee']
1231,Just A Lil Bit,spotify:track:68IM0wOuxlrbwk0zgmi9dk,['50 Cent']
1232,When a Man Loves a Woman,spotify:track:1rLYWSXPrJGWnlGlSwPEia,['Michael Bolton']
1233,Shake It Up,spotify:track:5lXG3SLCMVk7dJzp1YeMni,['The Cars']
1234,Time In A Bottle,spotify:track:12PlslqAWQUtiLoObNaj8a,['Jim Croce']
1235,Heartache Tonight - 2013 Remaster,spotify:track:1vLlzUAREiFMWgskzefFPr,['Eagles']
1236,Treat Her Like A Lady,spotify:track:75t6tcHkZDFKLKJwjXFMtq,['Cornelius Brothers & Sister Rose']
1237,A Taste of Honey,spotify:track:6il1KvpVKFa3fvfZT0svLT,['Herb Alpert & The Tijuana Brass']
1238,Stoned Soul Picnic - Laura Nyro Cover,spotify:track:1bKQeepTAEYlpn8wpL7iDn,['The 5th Dimension']
1239,I Like The Way,spotify:track:0flZtKtmkZMNqFF7V7Yfmu,['Hi-Five']
1240,Delta Dawn,spotify:track:4E5tZYJujvISFewOvXN3Ph,['Helen Reddy']
1241,Memories Are Made of This,spotify:track:5cn2UruTl94MvVFDGZdbg8,['Dean Martin']
1242,Undercover Angel,spotify:track:4spipbxOMXJgxJNX4yNrkl,"[""Alan O'Day""]"
1243,Memphis - Live/1964,spotify:track:7IcJWRpvZXU0YOGEOphlfN,['Johnny Rivers']
1244,You Gotta Be,spotify:track:6drXLLjpSAp7pJtPILznW8,"[""Des'ree""]"
1245,Halo,spotify:track:4JehYebiI9JE8sR8MisGVb,['Beyoncé']
1246,Learnin' The Blues,spotify:track:5EGL2hAczX2WvJ4WB0WJVB,['Frank Sinatra']
1247,Burning Bridges,spotify:track:51jyAgrsTNvOyZPW949qZR,['Jack Scott']
1248,Gangsta Lovin',spotify:track:0WgLpgUdThEpA5L5K0SKq7,"['Eve', 'Alicia Keys']"
1249,Time After Time,spotify:track:5tzbM8m70V977Ezpfk8IPS,['Cyndi Lauper']
1250,Faith - Remastered,spotify:track:0HEmnAUT8PHznIAAmVXqFJ,['George Michael']
1251,Playground In My Mind,spotify:track:1rj8iQGGAkD2SCh5zc9Df1,['Clint Holmes']
1252,One More Try,spotify:track:54KOZ6Ivk9Aj599agfNTcf,['Timmy T']
1253,Leader Of The Pack,spotify:track:3Vropzr1tjjl5gy1McuEVI,['The Shangri-Las']
1254,Sweet Caroline - Single Version,spotify:track:63GGXG43RzSfJooi47k0ky,['Neil Diamond']
1255,What Becomes Of The Brokenhearted - Single Version,spotify:track:2gVFTVQpnwVDRaCFyrRR6C,['Jimmy Ruffin']
1256,Vision of Love,spotify:track:0gLQ6jhJsyYfl7PrD1RZ7X,['Mariah Carey']
1257,Our Day Will Come,spotify:track:3ngYXFSYtF5mHguNCA3JZ0,['Ruby And The Romantics']
1258,Lonely Night (Angel Face),spotify:track:40wZA98oWWsxtfgDlnIvOj,['Captain & Tennille']
1259,Nice & Slow,spotify:track:5L0KDoZklMgs9GPoonneEl,['Usher']
1260,Clair,spotify:track:6wAxiqfZzbxPUuvVan1ZuU,"[""Gilbert O'Sullivan""]"
1261,Lean on Me,spotify:track:5zCJvrT3C7cIfHsR5iG95l,['Bill Withers']
1262,Beatles Medley: Stars On 45 / No Reply / I'll Be Back / Drive My Car / Do You Want To Know A Secret / We Can Work It Out / I Should Have Known Better / Nowhere Man / You're Going To Lose That Girl / Ticket To Ride / The Word / Eleanor Rigby,spotify:track:4Ox503Rw73Ndcpw8P1nG1W,['L.A. Session Singers']
1263,The Poor People Of Paris (Jean's Song) - Single Version,spotify:track:70gZnClysSHCBwI0H4qr5O,['Les Baxter']
1264,I Like Dreamin',spotify:track:5QMzJ1D9r2hxp0LGWPUtVv,['Kenny Nolan']
1265,Walk Like an Egyptian,spotify:track:1Jwc3ODLQxtbnS8M9TflSP,['The Bangles']
1266,When Can I See You,spotify:track:3MMgcPP6temZXIgMhQlyDU,['Babyface']
1267,And When I Die,spotify:track:5kMqaxZtS8G34laCJBaoRA,"['Blood, Sweat & Tears']"
1268,Until You Come Back to Me (That's What I'm Gonna Do),spotify:track:7KFE0obW22DJZ8XW9K38hH,['Aretha Franklin']
1269,Alejandro,spotify:track:15pu8u4n3q4BKl4tF20c5v,['Lady Gaga']
1270,Ain't That A Shame,spotify:track:3fVT0LT1pnNn50loXONNLe,['Pat Boone']
1271,Did You Ever Have to Make up Your Mind?,spotify:track:4QVQuE0X4a8cqXTuT0Qjzc,"[""The Lovin' Spoonful""]"
1272,Separate Lives (Love Theme From White Nights),spotify:track:40JVyQzjWxUzymi6pcjdWn,"['Phil Collins', 'Marilyn Martin']"
1273,High Enough,spotify:track:5t5rCnsgRBtcKqTB7SbD1Q,['Damn Yankees']
1274,Shotgun,spotify:track:58don6yV8C6KtghnRaCVLQ,['Jr. Walker & The All Stars']
1275,Fire and Rain,spotify:track:3LcYYV9ozePfgYYmXv0P3r,['James Taylor']
1276,Cracklin' Rosie - Single Version,spotify:track:6gXNzavjsT2Re2eVqiIdou,['Neil Diamond']
1277,I Need a Girl (Pt. 1) [feat. Usher & Loon],spotify:track:7lVNTXkI3cHFvcXiI8damb,"['Diddy', 'Loon', 'Usher']"
1278,Hooked on a Feeling,spotify:track:6Ac4NVYYl2U73QiTt11ZKd,"['Blue Swede', 'Björn Skifs']"
1279,Jungle Boogie,spotify:track:3E9goOoljmDVmLdPcGzWuf,['Kool & The Gang']
1280,Bump n' Grind,spotify:track:2OeSwSbwlmn9u8SsutfxPO,['R. Kelly']
1281,Little Woman,spotify:track:7eCHZeIm2SxGEJkGEggstN,['Bobby Sherman']
1282,Most Girls,spotify:track:6gEioWsXbaNY025YFTYaBE,['P!nk']
1283,Can't Let Go,spotify:track:13YoNGddbSxkk5u0TEJePn,['Mariah Carey']
1284,Till the World Ends,spotify:track:38iU2jg98IZZEIJPrP7aWD,['Britney Spears']
1285,Yakety Yak,spotify:track:3h5g8M5cWCPniE29PHhv7M,['The Coasters']
1286,Night,spotify:track:2iDcBoSJ9yGrk7sVYNqL1D,['Jackie Wilson']
1287,Muskrat Love,spotify:track:1U04tEqBgmBCZVil3gJ6S7,['Captain & Tennille']
1288,Angie,spotify:track:1GcVa4jFySlun4jLSuMhiq,['The Rolling Stones']
1289,What About Your Friends,spotify:track:63PIgPkDf3rswlU4ZWCYAM,['TLC']
1290,The Time (Dirty Bit),spotify:track:0eaeHQWVmAqhpdP3pzHM5z,['Black Eyed Peas']
1291,Silhouettes,spotify:track:4cEFZ2b9kSLXubFmhJpZnF,['The Rays']
1292,Goin' Out Of My Head,spotify:track:59sN2XKuaRfT98xMvhSctl,['Little Anthony & The Imperials']
1293,Blue Bayou - 1999 Remaster,spotify:track:31Q84a7UanVaTSrnFsFypj,['Linda Ronstadt']
1294,Chain of Fools,spotify:track:7jVNFF0E9Zm04J8ezjLuNq,['Aretha Franklin']
1295,I'll Remember (Theme from the Motion Picture With Honors),spotify:track:00U0pedRUMEzREpyRqbVT6,['Madonna']
1296,Love Don't Cost a Thing,spotify:track:1k43k4rOthL1DVJoL3tBGS,['Jennifer Lopez']
1297,Stood Up - 2001 Digital Remaster,spotify:track:47I1eN5U4HCsP6MhIaIojM,['Ricky Nelson']
1298,The Safety Dance,spotify:track:5ZpDiWqCG93McsnuHu9uCR,['Men Without Hats']
1299,Got To Give It Up (Pt. 1),spotify:track:1LXXuQ02OuquA8COA3Wyp7,['Marvin Gaye']
1300,Let's Go Crazy,spotify:track:0QeI79sp1vS8L3JgpEO7mD,['Prince']
1301,The Reflex,spotify:track:51vynPEvlsFKvVS5Jrra1G,['Duran Duran']
1302,On My Own,spotify:track:5lQyKTM5MZsrObdRbIjJv4,['Patti LaBelle']
1303,People,spotify:track:3IuoClPicy8f9frzOBRaoQ,['Barbra Streisand']
1304,Ruby Baby,spotify:track:6QyhpZJvcIPqx1v0UAk3NM,['Dion']
1305,Jumpin' Jack Flash - Mono Version,spotify:track:1gqTXnc7WXBI9AwcCiqcJ1,['The Rolling Stones']
1306,Daddy Don't You Walk So Fast,spotify:track:3QCATKyR7mzqvQB750qNxs,['Wayne Newton']
1307,You Sexy Thing,spotify:track:714hERk9U1W8FMYkoC83CO,['Hot Chocolate']
1308,Secretly,spotify:track:01HbHUfUew3WFDn2cS2UTw,['Jimmie Rodgers']
1309,This I Promise You,spotify:track:46n2EGFnPC3tzWCN1Aqe26,['*NSYNC']
1310,Incomplete,spotify:track:3w8Mw9GHYepoTWOSdiyosj,['Sisqo']
1311,Soldier (feat. T.I. & Lil' Wayne),spotify:track:4FTOpNYcGxnQdGNWSxIcio,"[""Destiny's Child"", 'T.I.', 'Lil Wayne']"
1312,Tears on My Pillow,spotify:track:67mBHBW40r6BkubGxKgSpY,['Little Anthony & The Imperials']
1313,Without You,spotify:track:1kMOJBmpfWD9fir6st9uqS,['Mariah Carey']
1314,The Sweetest Thing (I've Ever Known),spotify:track:3EFgVWb1TAYP3CF17BB4fU,['Juice Newton']
1315,Mo Money Mo Problems (feat. Mase & Puff Daddy),spotify:track:3kG2YgxjYnnPBlo7H08Xt3,"['The Notorious B.I.G.', 'Mase & Puff Daddy']"
1316,Sara Smile,spotify:track:4TI306LIWdII9L3OitUeJY,['Daryl Hall & John Oates']
1317,Frankenstein,spotify:track:2l0Z9fY1E8Bep8opmhmDhq,['The Edgar Winter Group']
1318,"December, 1963 (Oh What a Night!)",spotify:track:1hQFF33xi8ruavZNyovtUN,['Frankie Valli & The Four Seasons']
1319,You Don't Have to Be a Star (To Be In My Show),spotify:track:2JurHS80N98Yt3CdIBYz9M,"['Marilyn McCoo', 'Billy Davis Jr.']"
1320,Nowhere Man - Remastered 2009,spotify:track:5SUlhldQJtOhUr2GzH5RI7,['The Beatles']
1321,The First Time,spotify:track:4iqnWPNCt4hhZ96KhjlJKq,['Surface']
1322,I Say a Little Prayer,spotify:track:05XkMS2YVNfPNXepMScPRJ,['Dionne Warwick']
1323,Yo-Yo,spotify:track:4o36OjTixw5gsMvwgbdIzv,['The Osmonds']
1324,"Theme From ""The Apartment""",spotify:track:37UxQONhYhMJ2F9SX9fhHW,"['Charles Williams', 'Ferrante & Teicher']"
1325,Hungry Heart,spotify:track:1KsI8NEeAna8ZIdojI3FiT,['Bruce Springsteen']
1326,Love To Love You Baby,spotify:track:4EWH8tOFnAOCP15useWsrm,['Donna Summer']
1327,Shining Star,spotify:track:26VrotMHCu4m9I1rbHB1GN,"['Earth, Wind & Fire']"
1328,Bring It All to Me (feat. *NSYNC),spotify:track:1cjBan0t4eBk2Y5j17hdyf,"['Blaque', '*NSYNC']"
1329,Walked Outta Heaven,spotify:track:06ZDLodo1UDVavc3MXREZ3,['Jagged Edge']
1330,Grazing In The Grass,spotify:track:2P6Buc8kWRgShx7aHIadqu,['Hugh Masekela']
1331,T.S.O.P. (The Sound of Philadelphia) (feat. The Three Degrees),spotify:track:7kllQQPam6HumbUCIPSvHJ,"['MFSB', 'The Three Degrees']"
1332,Release Me,spotify:track:0Si6MQzSdOyfWTy0LP5ojD,['Engelbert Humperdinck']
1333,I'm Henry VIII I Am - Rerecorded Version,spotify:track:5e3DLfabdGVHvypFUEnfta,"[""Herman's Hermits""]"
1334,Canadian Sunset - Digitally Mastered,spotify:track:5TPNrs9WyqtegtxZOcE0T5,['Hugo Winterhalter And His Orchestra']
1335,Sealed With A Kiss,spotify:track:7wXeFRFidpQIfZgExLavJy,['Brian Hyland']
1336,That's Life,spotify:track:4DrZFVfcuHxFYc6drP41qc,['Frank Sinatra']
1337,Don't Know Much (with Aaron Neville),spotify:track:4x9y3JSvsjBTbm4uEnBrdT,"['Linda Ronstadt', 'Aaron Neville']"
1338,Back In My Arms Again,spotify:track:5QU93rrOcI1wq3lSveWktO,['The Supremes']
1339,How Do You Talk To An Angel?,spotify:track:2QVHmiFTjFsHyxONRdbkcq,['The Heights']
1340,Blowin' in the Wind - 2004 Remaster,spotify:track:0XIe81wYNtdvIttRAUEau4,"['Peter, Paul and Mary']"
1341,Pretty Blue Eyes,spotify:track:58KvzPxBk7iakPHKKs2tDw,['Steve Lawrence']
1342,Bang Bang,spotify:track:67FpuA57JPRJYp6xpbSUGg,['Cher']
1343,Lately - Live From Uptown MTV Unplugged/1993/Edit,spotify:track:4BSuhcM6fMWILQqhINH1Mm,['Jodeci']
1344,Smiling Faces Sometimes,spotify:track:5yZ53FNlMoPD0P9u9G6KfV,['The Undisputed Truth']
1345,Fortunate,spotify:track:0atAqF01mqwYOOfXVHu51F,['Maxwell']
1346,I Wish - Single Edit,spotify:track:1v9Hia5nGiKtkSTDE66WSv,['Stevie Wonder']
1347,Vogue,spotify:track:27QvYgBk0CHOVHthWnkuWt,['Madonna']
1348,Way Down Yonder In New Orleans,spotify:track:34o5Zx8STUrAdSxMNZlY2s,['Freddy Cannon']
1349,Good Life,spotify:track:1fLdeDTrJWNkwOeFyAVLvF,"['Kanye West', 'T-Pain']"
1350,Do Me!,spotify:track:6pNvKPvOknI5zI4o9TB43f,['Bell Biv DeVoe']
1351,The Game Of Love,spotify:track:4pYa4YioWl14uEAMgXw7IS,['Wayne Fontana & The Mindbenders']
1352,Mony Mony,spotify:track:23xk9Rf7oIHVUU1JvmXYFn,['Tommy James & The Shondells']
1353,I Wanna Dance with Somebody (Who Loves Me),spotify:track:2k1np6GRFvKjgjYfo2g39B,['Whitney Houston']
1354,Party All the Time,spotify:track:6N5DRCQUSXT1qQqmqsO92B,['Eddie Murphy']
1355,Angel in Your Arms - Single Version,spotify:track:1X7deB82EPo7pLcMdVU6n8,['Hot']
1356,Rapture,spotify:track:6F2vo4sxRNQ58VYe3pdiaL,['Blondie']
1357,Round and Round (with Mitchell Ayres and His Orchestra & The Ray Charles Singers),spotify:track:1UsG5X1iDRw17C5mIAgqqA,"['Perry Como', 'Mitchell Ayres & His Orchestra', 'The Ray Charles Singers']"
1358,I Wish It Would Rain,spotify:track:2dQx3sIylsbvagZCNf69h4,['The Temptations']
1359,Instant Karma! (We All Shine On) - Remastered 2010,spotify:track:2E9wKgL8NN7Tvydqcjoh7v,"['John Lennon', 'The Plastic Ono Band', 'Yoko Ono']"
1360,Pump Up The Jam,spotify:track:21qnJAMtzC6S5SESuqQLEK,['Technotronic']
1361,Cream - Without Rap Monologue,spotify:track:7tEtjwh0pU7NDwkRYFEfyz,['Prince']
1362,More Than Words,spotify:track:1gVgkQFOKa8Wc1HYsJtPdH,['Extreme']
1363,Nothing From Nothing,spotify:track:5n9QhVJS3XSjSc9kNJNEIU,['Billy Preston']
1364,Emotional Rescue - Remastered 2009,spotify:track:5IATbFZds3cbOx8YxuMuko,['The Rolling Stones']
1365,Dim All The Lights,spotify:track:5lN4eoE9AKy2cdw25P1tKg,['Donna Summer']
1366,Like You (feat. Ciara),spotify:track:5dLvErR6RBbMMvGuDMdur2,"['Bow Wow', 'Ciara']"
1367,Bartender (feat. Akon),spotify:track:5kxddRG1RZaZROadk7iC4D,"['T-Pain', 'Akon']"
1368,Only Wanna Be with You,spotify:track:1OFKUn2VLafrHj7ybnap0Q,['Hootie & The Blowfish']
1369,Scorpio,spotify:track:7MtkIWYU08wiwKGYrNb6lj,['Dennis Coffey & The Detroit Guitar Band']
1370,Because Of You,spotify:track:7xoN94HgqWTerSUbG5Hf9O,['98º']
1371,Get Ready,spotify:track:5g18Ctsq0u61KMu8OPonuG,['Rare Earth']
1372,My Prayer,spotify:track:1jCw61bKEeySCkn1iTJsbz,['The Platters']
1373,Boogie Fever,spotify:track:5lDFRLalsBKoH5vS8q7sQh,['The Sylvers']
1374,After the Love Is Gone - Edit,spotify:track:2mf23OxPKPJxBhCTCB4eTK,"['Earth, Wind & Fire']"
1375,Day 'N' Nite (nightmare),spotify:track:5FEXPoPnzueFJQCPRIrC3c,['Kid Cudi']
1376,How Much I Feel - Remastered Version,spotify:track:30OYvco4YZRz3wF2SP2VZC,"['Ambrosia', 'Tom Trefethen']"
1377,Shake You Down - Single Version,spotify:track:4RiagUUJVbGgQpo9S86Wn6,['Gregory Abbott']
1378,Time (Clock Of The Heart) - 2003 Mix,spotify:track:3bOMPz6bLsdOlDmbSZKJnV,['Culture Club']
1379,I'm Gonna Get Married,spotify:track:1jKcwPfDloLOMxC1wMV0ux,['Lloyd Price']
1380,Wolverton Mountain,spotify:track:1GM8EhVOkaU8jvqua4S54l,['Claude King']
1381,Forget Him,spotify:track:5ed4aNT4vJqRQTA9jVZ8lR,['Bobby Rydell']
1382,Hey Lover,spotify:track:1eQZwiUWnnrem5a7sSexZd,"['LL Cool J', 'Boyz II Men']"
1383,Money for Nothing,spotify:track:4yqtwO7MQIIXqoiRBPHAgR,['Dire Straits']
1384,Everybody Wants To Rule The World,spotify:track:2St8fk4qSlocI1F2YzqvUV,['Tears For Fears']
1385,Caribbean Queen (No More Love on the Run),spotify:track:0Sc8Apt5CzvS1hofhjEkNA,['Billy Ocean']
1386,Pick Up the Pieces,spotify:track:2x1LQq8lsUzAA2wNj8yjC9,['Average White Band']
1387,Who's Crying Now,spotify:track:11Uatd4av1y0YD2x0mQvao,['Journey']
1388,Please Forgive Me,spotify:track:5hrmOr4ZayPqOVyVwtbh4L,['Bryan Adams']
1389,Girls Just Want to Have Fun,spotify:track:79Cupw2P7ZhCCtmgRS1X8R,['Cyndi Lauper']
1390,Where The Boys Are,spotify:track:6N3LlP0e7sWkNaTw8aXEnX,['Connie Francis']
1391,I Know (You Don't Love Me No More),spotify:track:6iseVFIrjqHP7Cx49l8geC,['Barbara George']
1392,I Wanna Be Down,spotify:track:6N9uyMZf9pbNOuomveWscp,['Brandy']
1393,Hey Little Cobra,spotify:track:5LV5LgYnApxTF0BoZ3cDye,['The Rip Chords']
1394,The Great Pretender,spotify:track:7FB4p1T7JfKHQk7A7SwhTn,['The Platters']
1395,Mr. Roboto,spotify:track:7C0rG4oWO7VeZcffyW1sK9,['Styx']
1396,San Francisco (Be Sure to Wear Flowers in Your Hair),spotify:track:66ujRcQB3xjilVohGyvTKM,['Scott McKenzie']
1397,Can't Fight This Feeling,spotify:track:5WwqdeavrQrbeAMDxGawse,['REO Speedwagon']
1398,For All We Know,spotify:track:4VD9bzVQXXv0K6fIgX3WRX,['Carpenters']
1399,Green Onions,spotify:track:4fQMGlCawbTkH9yPPZ49kP,"[""Booker T. & the M.G.'s""]"
1400,Black Water - 2006 Remaster,spotify:track:73yp6oE8A4Qd3HK1wk4ebo,['The Doobie Brothers']
1401,Somebody's Watching Me,spotify:track:7ozMJf8OMc9vRcZmAN8wPt,['Rockwell']
1402,Where Is The Love?,spotify:track:3CNqo3gYrfexdrtjFmC9he,['Black Eyed Peas']
