,names,uri,artists
60,California Gurls,spotify:track:6tS3XVuOyu10897O3ae7bi,"['Katy Perry', 'Snoop Dogg']"
61,Another Night,spotify:track:3pEuO9J2MTEmec8kUfYYvl,['Real McCoy']
62,"Sugar, Sugar",spotify:track:4GAI8BxeMgrvhZNEU59UfR,['The Archies']
63,Limbo Rock,spotify:track:6FXjVsmKPW93LXRFYhfmmw,['Chubby Checker']
64,Aquarius/Let The Sunshine In (The Flesh Failures) - Remastered,spotify:track:3OQJESR29iahOFOvLYCB9E,['The 5th Dimension']
65,Monster Mash,spotify:track:0xxZY5C9xxij3D1HkzbnfC,"['Bobby ""Boris"" Pickett', 'The Crypt-Kickers']"
66,Another One Bites The Dust - Remastered 2011,spotify:track:57JVGBtBLCfHw2muk5416J,['Queen']
67,Breathe,spotify:track:3y4LxiYMgDl4RethdzpmNe,['Faith Hill']
68,Crank That (Soulja Boy),spotify:track:66TRwr5uJwPt15mfFkzhbi,['Soulja Boy']
69,Hot N Cold,spotify:track:1y4eb6hmAvsqlDOl3fx9kk,['Katy Perry']
70,Poker Face,spotify:track:0WfKDYeUAoLA3vdvLKKWMW,['Lady Gaga']
71,E.T.,spotify:track:4z8ssgZfs5TzKiO8HaGWXO,['Katy Perry']
72,You Make Me Wanna...,spotify:track:47TqCCnEliDp8NRDyIQoQq,['Usher']
73,Unwell - 2007 Remaster,spotify:track:0PXWpNBYg52gABrn1qL1bD,['Matchbox Twenty']
74,Since U Been Gone,spotify:track:3xrn9i8zhNZsTtcoWgQEAd,['Kelly Clarkson']
75,Get Low,spotify:track:0r2Bul2NuCViraT2zX1l5j,"['Ying Yang Twins', 'Lil Jon & The East Side Boyz']"
76,U Got It Bad,spotify:track:7J41dYQolQJEtj3UmKLu5r,['Usher']
77,Love The Way You Lie,spotify:track:15JINEqzVMv3SvJTAXAKED,"['Eminem', 'Rihanna']"
78,Break Your Heart,spotify:track:1CdqVF1ywD0ZO1zXtB9yWa,"['Taio Cruz', 'Ludacris']"
79,Disturbia,spotify:track:2VOomzT6VavJOGBeySqaMc,['Rihanna']
80,I Just Want To Be Your Everything,spotify:track:5EdlwzcgIAYs2HGvOnczPN,['Andy Gibb']
81,Super Bass,spotify:track:7gKIt3rDGIMJDFVSPBnGmj,['Nicki Minaj']
82,He'll Have to Go,spotify:track:7DH5dXVuQaqcKf9oTy9oUN,['Jim Reeves']
83,Winchester Cathedral,spotify:track:3Q51jQuzjEDMTyFX4pT2dK,['New Vaudeville Band']
84,You Light Up My Life,spotify:track:7yjAL13BeIaT9BKJZBy8b1,['Debby Boone']
85,Hurts So Good,spotify:track:3D9aRFIrFGDnBJAmP6ODYW,['John Mellencamp']
86,Just A Dream,spotify:track:3PfeAZbfD134dO6OiLDA2Y,['Nelly']
